




Analysis Type:	PANTHER Overrepresentation Test (Released 20200728)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.3954044 Released 2020-07-16
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20851)	upload_1 (4575)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
membrane invagination (GO:0010324)	147	12	32.25	-	.37	2.52E-04	6.37E-03
regulation of inflammatory response to antigenic stimulus (GO:0002861)	221	18	48.49	-	.37	5.78E-06	2.33E-04
phospholipase C-activating G protein-coupled receptor signaling pathway (GO:0007200)	100	8	21.94	-	.36	2.42E-03	4.45E-02
negative regulation of inflammatory response to antigenic stimulus (GO:0002862)	207	16	45.42	-	.35	4.29E-06	1.80E-04
adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains (GO:0002460)	273	21	59.90	-	.35	1.01E-07	5.82E-06
killing of cells of other organism (GO:0031640)	85	6	18.65	-	.32	2.47E-03	4.50E-02
defense response to bacterium (GO:0042742)	349	24	76.58	-	.31	9.65E-11	8.34E-09
cellular response to chemokine (GO:1990869)	89	6	19.53	-	.31	1.81E-03	3.48E-02
response to chemokine (GO:1990868)	89	6	19.53	-	.31	1.81E-03	3.48E-02
adaptive immune response (GO:0002250)	616	41	135.16	-	.30	7.09E-19	1.52E-16
positive regulation of B cell activation (GO:0050871)	170	11	37.30	-	.29	3.87E-06	1.64E-04
keratinocyte differentiation (GO:0030216)	268	17	58.80	-	.29	3.57E-09	2.62E-07
lymphocyte mediated immunity (GO:0002449)	264	16	57.93	-	.28	2.44E-09	1.82E-07
humoral immune response (GO:0006959)	385	23	84.47	-	.27	2.23E-13	2.57E-11
regulation of humoral immune response (GO:0002920)	136	7	29.84	-	.23	5.31E-06	2.17E-04
regulation of complement activation (GO:0030449)	117	6	25.67	-	.23	2.78E-05	9.12E-04
plasma membrane invagination (GO:0099024)	140	7	30.72	-	.23	2.59E-06	1.14E-04
peptide cross-linking (GO:0018149)	101	5	22.16	-	.23	1.06E-04	2.95E-03
cornification (GO:0070268)	113	5	24.79	-	.20	1.12E-05	4.11E-04
immunoglobulin mediated immune response (GO:0016064)	205	9	44.98	-	.20	1.75E-09	1.34E-07
B cell mediated immunity (GO:0019724)	208	9	45.64	-	.20	1.22E-09	9.43E-08
chemokine-mediated signaling pathway (GO:0070098)	79	3	17.33	-	.17	1.44E-04	3.89E-03
cellular defense response (GO:0006968)	53	2	11.63	-	.17	2.47E-03	4.50E-02
phagocytosis, recognition (GO:0006910)	106	4	23.26	-	.17	8.79E-06	3.34E-04
keratinization (GO:0031424)	226	7	49.59	-	.14	2.06E-12	2.07E-10
phagocytosis, engulfment (GO:0006911)	131	4	28.74	-	.14	1.22E-07	7.00E-06
detection of stimulus involved in sensory perception (GO:0050906)	549	16	120.46	-	.13	2.43E-29	9.67E-27
sensory perception of chemical stimulus (GO:0007606)	540	14	118.48	-	.12	1.73E-30	7.63E-28
humoral immune response mediated by circulating immunoglobulin (GO:0002455)	167	4	36.64	-	.11	3.18E-10	2.59E-08
B cell receptor signaling pathway (GO:0050853)	131	3	28.74	-	.10	2.36E-08	1.51E-06
complement activation, classical pathway (GO:0006958)	161	3	35.33	-	.08	1.17E-10	1.00E-08
sensory perception of smell (GO:0007608)	468	8	102.69	-	.08	2.54E-30	1.09E-27
complement activation (GO:0006956)	177	3	38.84	-	.08	6.45E-12	6.26E-10
opsonization (GO:0008228)	73	1	16.02	-	.06	1.19E-05	4.30E-04
detection of chemical stimulus (GO:0009593)	521	7	114.31	-	.06	1.13E-35	6.20E-33
detection of chemical stimulus involved in sensory perception (GO:0050907)	484	1	106.20	-	 < 0.01	9.94E-41	9.88E-38
detection of chemical stimulus involved in sensory perception of smell (GO:0050911)	439	0	96.32	-	 < 0.01	9.36E-39	8.27E-36
bile acid and bile salt transport (GO:0015721)	35	0	7.68	-	 < 0.01	1.52E-03	3.00E-02
